library_id,index,tissue,day,donor,year,tissue_encode,donor_encode
H_ZW-WU321-05-d0_B_cell-lib1_GEX,1,PBMC,0,321-05,1,1,2
H_ZW-WU321-05-d0_BMPC-2-lib1_GEX,2,PBMC,0,321-05,1,1,2
H_ZW-WU321-05-d0_BMPC-lib1_GEX,3,PBMC,0,321-05,1,1,2
H_ZW-WU321-05-d0_FNA-2-lib1_GEX,4,FNA,0,321-05,1,2,2
H_ZW-WU321-05-d0_FNA-lib1_GEX,5,FNA,0,321-05,1,2,2
H_ZW-WU321-05-d0_PBMC_2-lib1_GEX,6,PBMC,0,321-05,1,1,2
H_ZW-WU321-05-d12_B_cell-lib1_GEX,7,PBMC,12,321-05,1,1,2
H_ZW-WU321-05-d12_FNA-2-lib1_GEX,8,FNA,12,321-05,1,2,2
H_ZW-WU321-05-d12_FNA-3-lib1_GEX,9,FNA,12,321-05,1,2,2
H_ZW-WU321-05-d12_FNA-lib1_GEX,10,FNA,12,321-05,1,2,2
H_ZW-WU321-05-d12_PBMC_2-lib1_GEX,11,PBMC,12,321-05,1,1,2
H_ZW-WU321-05-d120_B_cell-lib1_GEX,12,PBMC,120,321-05,1,1,2
H_ZW-WU321-05-d120_PBMC-lib1_GEX,13,PBMC,120,321-05,1,1,2
H_ZW-WU321-05-d180_B_cell-lib1_GEX,14,PBMC,180,321-05,1,1,2
H_ZW-WU321-05-d180_BMPC-2-lib1_GEX,15,PBMC,180,321-05,1,1,2
H_ZW-WU321-05-d180_BMPC-lib1_GEX,16,PBMC,180,321-05,1,1,2
H_ZW-WU321-05-d180_FNA-2-lib1_GEX,17,FNA,180,321-05,1,2,2
H_ZW-WU321-05-d180_FNA-lib1_GEX,18,FNA,180,321-05,1,2,2
H_ZW-WU321-05-d28_B_cell-lib1_GEX,19,PBMC,28,321-05,1,1,2
H_ZW-WU321-05-d28_BMPC-2-lib1_GEX,20,PBMC,28,321-05,1,1,2
H_ZW-WU321-05-d28_BMPC-lib1_GEX,21,PBMC,28,321-05,1,1,2
H_ZW-WU321-05-d28_FNA-2-lib1_GEX,22,FNA,28,321-05,1,2,2
